,time,lat,lon,geoaltitude,signature
3502,1645233370,26.224594116210938,-98.65323624520931,8267.7,0
3503,1645233371,26.223946264234637,-98.65484971266528,8267.7,0
3504,1645233372,26.223037719726562,-98.65701927329008,8267.7,0
3505,1645233373,26.222488403320312,-98.65852212006189,8267.7,0
3506,1645233374,26.22180486129502,-98.66013160118689,8267.7,0
3507,1645233375,26.221298217773438,-98.66142416900055,8267.7,0
3508,1645233376,26.22078071206303,-98.6627725454477,8267.7,0
3509,1645233377,26.220175532971396,-98.66425147423377,8267.7,0
3510,1645233378,26.219570353879767,-98.66567758413458,8267.7,0
3511,1645233379,26.21905517578125,-98.66702097766802,8267.7,0
3512,1645233380,26.218406547934322,-98.66863544170673,8267.7,0
3513,1645233381,26.21780136884269,-98.6701143704928,8267.7,0
3514,1645233382,26.217178344726562,-98.67173680719338,8267.7,0
3515,1645233383,26.216637562897244,-98.67301940917969,8267.7,0
3516,1645233384,26.21584617485434,-98.67507934570312,8267.7,0
3517,1645233385,26.215566861427437,-98.67566035344049,8267.7,0
3518,1645233386,26.21484375,-98.67759272737322,8267.7,0
3519,1645233387,26.21484375,-98.67759272737322,8267.7,0
3520,1645233388,26.213653564453125,-98.6805465986144,8267.7,0
3521,1645233389,26.213424682617188,-98.6811166439416,8267.7,0
3522,1645233390,26.21246337890625,-98.68344864755306,8267.7,0
3523,1645233391,26.21184268240201,-98.68506211500903,8267.7,0
3524,1645233392,26.211609921212922,-98.6856959416316,8267.7,0
3525,1645233393,26.21100474212129,-98.68712205153247,8267.7,0
3526,1645233394,26.210128784179688,-98.68935639003536,8267.7,0
3527,1645233395,26.20953369140625,-98.69080741450472,8267.7,0
3528,1645233396,26.20890989141949,-98.69245675893927,8267.7,0
3529,1645233397,26.20830471232786,-98.69388286884015,8267.7,0
3530,1645233398,26.207748413085938,-98.6952123102152,8267.7,0
3531,1645233399,26.207427978515625,-98.6960932893573,8267.7,0
3532,1645233400,26.20662883176642,-98.69800274188702,8267.7,0
3533,1645233401,26.205930548199152,-98.69979858398438,8267.7,0
3534,1645233402,26.205697787010063,-98.70037959172174,8267.7,0
3535,1645233403,26.204818725585938,-98.70257107716685,8267.7,0
3536,1645233404,26.2042236328125,-98.70402210163621,8267.7,0
3537,1645233405,26.20360293630826,-98.7056614802434,8267.7,0
3538,1645233406,26.203137413930083,-98.70682349571814,8267.7,0
3539,1645233407,26.202484130859375,-98.70847881964914,8267.7,0
3540,1645233408,26.201889038085938,-98.7099298441185,8267.7,0
3541,1645233409,26.201228772179554,-98.71152437650238,8267.7,0
3542,1645233410,26.200698852539062,-98.71288371535968,8267.7,0
3543,1645233411,26.200390831898833,-98.71358431302582,8267.7,0
3544,1645233412,26.199508666992188,-98.71578576429835,8267.7,0
3545,1645233413,26.19891357421875,-98.71728861107016,8267.7,0
3546,1645233414,26.19862184686176,-98.71802109938403,8267.7,0
